matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
141,T9,away,20,loss,98,248,8,1,9,134,11,4,16,643,6,6,1,16,111,10,12,1,1,5,0,2,0,1,-17,-4,-59,-2,-1,0,-16,2,-2,-5,-305,4,3,-1,3,0,2,-1,-2,0,4,-3,1,0,1
142,T2,away,13,draw,63,290,4,3,6,86,15,4,50,1660,5,5,4,18,133,15,12,2,0,3,1,0,0,0,0,-53,-43,-11,2,1,-62,-2,2,3,172,-7,-2,1,7,68,11,0,1,-1,2,0,0,-1,0
143,T16,away,13,loss,117,350,23,2,5,105,19,4,18,894,2,6,3,15,97,12,12,2,0,3,2,2,0,1,-23,14,-221,11,-5,-2,-41,9,-4,-9,-8,-6,-2,2,8,-58,-11,-5,0,-1,1,1,-3,0,1
144,T10,home,19,win,152,406,20,5,13,199,12,3,19,815,7,7,3,12,94,6,4,2,0,0,0,0,0,0,2,81,136,14,3,12,109,-2,-4,-8,53,0,6,0,4,-95,-14,-6,-2,0,-3,-2,-3,0,-2
145,T1,away,27,win,102,393,11,5,6,140,14,6,39,1065,3,4,1,12,149,9,12,3,0,3,1,4,0,1,4,-15,84,2,3,2,-6,3,0,-1,-125,-1,-2,-4,-2,29,-2,0,0,0,1,0,0,0,0
146,T4,away,20,loss,112,389,22,5,9,169,15,4,20,659,11,3,5,13,118,13,9,2,1,0,0,1,0,0,-2,18,35,9,-3,1,47,4,-4,0,-119,4,-5,4,-3,-19,-9,-2,-1,1,-1,-2,-1,0,0
147,T13,away,24,win,118,299,18,2,10,109,17,5,42,1105,6,3,0,9,122,12,5,2,0,1,1,4,0,1,14,10,11,6,-2,1,-29,7,3,4,168,-3,1,-1,0,-26,-6,-8,-2,0,-2,0,0,0,1
148,T4,home,3,loss,80,218,9,2,9,98,15,6,20,532,2,4,0,10,145,28,19,7,1,4,2,3,0,2,-33,-64,-189,-19,-5,-5,-109,1,0,2,-37,-12,0,-1,-10,60,19,12,7,1,3,2,2,0,2
149,T2,away,8,loss,116,202,9,1,8,110,16,6,18,670,11,5,1,12,150,13,14,3,2,1,1,3,0,1,-20,-6,-96,-4,-2,1,-32,5,2,-5,47,3,2,0,-2,8,4,1,-2,2,-2,0,-4,0,0
150,T4,away,7,loss,49,122,9,2,3,56,11,9,21,968,4,3,3,14,134,40,7,3,0,2,1,2,1,0,-48,-76,-536,-31,-9,-11,-119,-3,6,-5,-44,-4,-1,3,1,75,31,0,3,0,1,1,-1,1,0
